,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar100,All
Min_relu_8,0.0006296199999999999,1.4839999999999988e-05,0.56606275,0.5027188971562532,0.8364253500000001,0.54100464,0.547680268907563,0.92420073755378,0.48748258,0.558874589046588
Min_relu_9,0.00019549999999999987,0.0,0.6201147499999999,0.5643558454795637,0.82850567,0.53988834,0.5468773333333333,0.9374568838352796,0.50216988,0.5735260303905059
Min_relu_10,0.22384911000000002,0.04600016,0.49703941000000007,0.41326804607073697,0.8654651600000002,0.32450446,0.38703189915966385,0.9023372195759066,0.55452526,0.5346372013070323
Min_relu_11,0.37945933,0.12415447,0.4918640900000001,0.4056166241973295,0.8411469700000002,0.38501268,0.39982386554621846,0.9788801705593115,0.5464794000000001,0.5811373757116511
Min_relu_12,0.34670891,0.08068118,0.50186153,0.4264322597084905,0.8574926500000001,0.40137069000000003,0.4486134117647059,0.9556538491087891,0.55101732,0.5783559738593537
Min_relu_13,0.68313531,0.35423218,0.74260478,0.722837600652329,0.9096529900000001,0.7086647100000001,0.7484011540616247,0.9811023547940996,0.56759214,0.7630919423061503
Min_relu_14,0.017872549999999997,0.0016334899999999998,0.2349066,0.14756406074813982,0.69601911,0.12835928,0.1471333669467787,0.778170647664413,0.5284609,0.36533226485446235
Min_relu_15,0.55427423,0.21309036,0.50723428,0.484470971358679,0.71155113,0.43253654999999996,0.46382371988795523,0.9292408343577137,0.55532214,0.6018587623286024
Min_relu_16,0.74487487,0.6518642399999999,0.79572698,0.8068495973906838,0.84734652,0.80084813,0.8084264649859944,0.9426371811616474,0.6243048,0.8138688767941624
Min_relu_17,0.5475557200000001,0.30978019,0.76318051,0.7892115380695138,0.7606596999999999,0.7757070699999999,0.7774067787114847,0.9195887523048555,0.60872382,0.7340278977227167
Min_relu_18,0.9941365200000001,0.9753109199999999,0.8342809400000001,0.8524003771277139,0.87715917,0.85433589,0.862881781512605,0.9339315842040566,0.59513956,0.8891043140084998
Min_relu_19,0.85337832,0.69514436,0.8174395400000001,0.8102090612577719,0.8885583,0.80207386,0.8149475518207283,0.9455688921327597,0.6622428600000001,0.8390924494828002
Min_relu_20,0.9783870699999998,0.9671462399999999,0.80694811,0.8201925287942106,0.8641678299999999,0.8067002699999999,0.8232397871148459,0.9121463468039336,0.6336891600000001,0.8674250130302301
Min_relu_21,0.72226463,0.70822208,0.70805573,0.6993346957496687,0.79852459,0.7380531300000001,0.7531811428571429,0.8622802435464044,0.61310954,0.7602331709566194
Min_relu_22,0.9958041400000001,0.99187848,0.8785154500000001,0.8983344613189277,0.90722505,0.8984599200000001,0.9128111036414566,0.8812365012292562,0.6515973,0.9008656483040653
Min_relu_23,0.9050755100000001,0.9231212400000001,0.8365012900000001,0.8356704821119152,0.8803927699999998,0.82730036,0.8380929411764705,0.9252336278426552,0.7371687,0.8737689399406623
Min_relu_24,0.8931456799999999,0.8206957,0.8658652600000001,0.8609708388543472,0.93151416,0.8808164599999999,0.8805980280112045,0.9703185579287033,0.75049908,0.894460378077139
Min_relu_25,0.96741196,0.97673251,0.9155785900000001,0.9153016512078279,0.9457551000000001,0.9357428499999999,0.9401464649859944,0.9416136485863553,0.75579264,0.9329052551920456
Min_relu_26,0.8386561699999999,0.7858832599999999,0.8819774900000001,0.8820785852614413,0.8992928,0.8855546599999999,0.8885825882352941,0.9195855869698832,0.79524986,0.8761648795204875
Min_relu_27,0.8951253100000001,0.90712151,0.8385600599999998,0.8201014473550097,0.86300062,0.83583052,0.8432483585434173,0.8123188575599263,0.6886761,0.8375235756956139
Min_relu_28,0.93239152,0.94955502,0.94932784,0.9352026908572011,0.9788018099999998,0.9444270499999999,0.9509860840336133,0.9823394399200984,0.8446403,0.9522423883409509
Min_relu_29,0.99800983,0.99938058,0.74537075,0.760240556518194,0.7059229,0.8016404599999999,0.7873093333333334,0.5413398701598033,0.6325254,0.7441613302862642
Min_relu_30,0.9988623799999999,0.99936082,0.9097958100000001,0.9106558862501275,0.92556762,0.92971708,0.9283318095238097,0.8782179932390903,0.85371294,0.9219707611659049
Min_relu_31,0.09332796000000002,0.09412780000000001,0.08133857,0.06804409336459077,0.17267819,0.04506237,0.047174588235294114,0.12807777735095266,0.15708471999999998,0.10096931881966162
